GenlGroup,Class,Subclassa,"Superordera, b",Orderc,Suborder,Familyd,FamilyAcro,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Scrophulariales,NA,Acanthaceae,Acan,
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Pteridaceae Adiantoidae,Adia,
A4.8Dicot,Magnoliopsida,Cornidae,Dipsacanae,Adoxales,NA,Adoxaceae,Capr,
A2Monocot,Liliopsida,Liliidae,Lilianae,Amaryllidales,NA,Agavaceae,Agav,
A4.2Dicot,Magnoliopsida,Caryophyllidae,Caryophyllanae,Caryophyllales,Chenopodiinae,Amaranthaceae [Incl. Chenopodiaceae],Amara,
A2Monocot,Liliopsida,Liliidae,Lilianae,Amaryllidales,NA,Amaryllidaceae,Amary,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Bursurales,NA,Anacardiaceae,Anac,
A1.5Dicot,Magnoliopsida,Magnoliidae,Magnolianae,Annonales,NA,Annonaceae,Anno,
A4.8Dicot,Magnoliopsida,Cornidae,Aralianae,Araliales,NA,Apiaceae,Apia,
A4.8Dicot,Magnoliopsida,Lamiidae,Gentiananae,Apocynales,NA,Apocynaceae,Apoc,
A2.2Monocot,Liliopsida,Aridae,Aranae,Arales,NA,Araceae,Arac,
A4.8Dicot,Magnoliopsida,Cornidae,Aralianae,Araliales,NA,Araliaceae,Aral,
A1.2Conifer,Pinopsida,Conifer,Conifer,Pinales,NA,Araucariaceae,Arau,
A3.2Monocot,Liliopsida,Arecidae,Arecanae,Arecales,NA,Arecaceae,Arec,
A2Monocot,Liliopsida,Liliidae,Lilianae,Asparagales,Asparaginae,Asparagaceae,Aspa,
A2Monocot,Liliopsida,Liliidae,Lilianae,Asparagales,Asphodelinae,Asphodelaceae,Asph,
A4.8Dicot,Magnoliopsida,Asteridae,Asteranae,Asterales,NA,Asteraceae,Aste,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Scrophulariales,NA,Bignoniaceae,Bign,
A4.5Dicot,Magnoliopsida,Dilleniidae,Malvanae,Malvales,NA,Bombacaceae,Bomb,
A4.8Dicot,Magnoliopsida,Lamiidae,Solananae,Boraginales,NA,Boraginaceae,Bora,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Capparales,Capparineae,Brassicaceae,Bras,
A3Monocot,Liliopsida,Commelinidae,Bromelianae,Bromeliales,NA,Bromeliaceae,Brom,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Bursurales,NA,Burseraceae,Burs,
A4.2Dicot,Magnoliopsida,Caryophylladae,Caryophyllanae,Caryophyllales,Portulacinae,Cactaceae,Cact,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Cannales,NA,Cannaceae,Cann,
,,,,,,Canellaceae,Cane,
A4.8Dicot,Magnoliopsida,Cornidae,Dipsacanae,Dipsacales,NA,Caprifoliaceae,Capr,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Caricales,NA,Caricaceae,Cari,
A4.2Dicot,Magnoliopsida,Caryophylladae,Caryophyllanae,Caryophyllales,Caryophylliineae,Caryophyllaceae,Cary,
A4.5Dicot,Magnoliopsida,Hamamelididae,Casuarinanae,Casuarinales,NA,Casuarinaceae,Cass,
A4.5Dicot,Magnoliopsida,Rosidae,Celastranae,Celastrales,NA,Celastraceae,Cela,
A4.5Dicot,Magnoliopsida,Dilleniidae,Urticanae,Urticales,NA,Celtidaceae,Celt,
A4.5Dicot,Magnoliopsida,Rosidae,Rosanae,Chrysobalanales,NA,Chrysobalanaceae,Chry,
A4.5Dicot,Magnoliopsida,Dilleniidae,Theanae,Hypericales,NA,Clusiaceae,Clus,
A4.5Dicot,Magnoliopsida,Rosidae,Myrtanae,Myrtales,Lythrinae,Combretaceae,Comb,
A3Monocot,Liliopsida,Commelinidae,Commelinanae,Commelinales,NA,Commelinaceae,Comm,
A4.8Dicot,Magnoliopsida,Lamiidae,Solananae,Convolvulales,NA,Convolvulaceae,Conv,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Zingiberales,NA,Costaceae,Cost,
A4.2Dicot,Magnoliopsida,Rosidae,Saxifraganae,Saxifragales,NA,Crassulaceae,Cras,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Cucurbitales,NA,Cucurbitaceae,Cucu,
A1.2Conifer,Pinopsida,Conifer,Conifer,Pinales,NA,Cupressaceae,Cupr,
A1.2Conifer,Cycadopsida,Conifer,Conifer,Cycadales,NA,Cycadaceae,Cyca,
A2.2Monocot,Liliopsida,Aridae,Cyclanthanae,Cyclanthales,NA,Cyclanthaceae,Cycl,
A3Monocot,Liliopsida,Commelinidae,Juncanae,Cyperales,NA,Cyperaceae,Cype, 
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Dennstaedtiaceae,Denn,
A4.5Dicot,Magnoliopsida,Dilleniidae,Primulanae,Styracales,Ebeninae,Ebenaceae,Eben,
A4.5Dicot,Magnoliopsida,Dilleniidae,Euphorbianae,Euphorbiales,NA,Euphorbiaceae,Euph,
A4.5Dicot,Magnoliopsida,Rosidae,Fabanae,Fabales,NA,Fabaceae,Faba,
A4.5Dicot,Magnoliopsida,Hamamelididae,Faganae,Fagales,NA,Fagaceae,Faga,
A4.5Dicot,Magnoliopsida,Rosidae,Geranianae,Geraniales,NA,Geraniaceae,Gera,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Musales,Heliconiineae,Heliconiaceae,Heli,
A2Monocot,Liliopsida,Liliidae,Lilianae,Amaryllidales,NA,Hemerocallidaceae,Hemo,
A4.8Dicot,Magnoliopsida,Lamiidae,Solananae,Boraginales,NA,Hydrophyllaceae,Hydr,
A2Monocot,Liliopsida,Liliidae,Lilianae,Iridales,NA,Iridaceae?,Irid,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Lamiales,NA,Lamiaceae,Lami,
A1.5Dicot,Magnoliopsida,Magnoliidae,Lauranae,Laurales,Laurinae,Lauraceae,Laur,
A4.8Dicot,Magnoliopsida,Dilleniidae,Theanae,Lecythidales,NA,Lecythidaceae,Lecy,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Scrophulariales,NA,Linderniaceae,Lind,
A4.8Dicot,Magnoliopsida,Lamiidae,Gentiananae,Gentianales,NA,Loganiaceae [Incl. Strychnaceae],Loga,
A4.5Dicot,Magnoliopsida,Rosidae,Myrtanae,Myrtales,Lythrinae,Lythraceae,Lyth,
A4.5Dicot,Magnoliopsida,Rosidae,Geranianae,Malpighiales,NA,Malpighiaceae,Malp,
A4.5Dicot,Magnoliopsida,Dilleniidae,Malvanae,Malvales,NA,Malvaceae,Malv,
A4.5Dicot,Magnoliopsida,Rosidae,Myrtanae,Myrtales,Lythrinae,Melastomataceae,Mela,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Rutales,Meliinae,Meliaceae,Meli,
A4.5Dicot,Magnoliopsida,Dilleniidae,Urticanae,Urticales,NA,Moraceae,Mora,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Musales,Musineae,Musaceae,Musa,
A4.5Dicot,Magnoliopsida,Hamamelididae,Juglandanae,Myricales,NA,Myricaceae,Myri,
A4.8Dicot,Magnoliopsida,Dilleniidae,Primulanae,Myrsinales,NA,Myrsinaceae [Incl. Primulaceae],Myrs,
A4.5Dicot,Magnoliopsida,Rosidae,Myrtanae,Myrtales,Myrtineae,Myrtaceae,Myrt,
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Nephrolepidaceae [Lomariopsidaceae],Neph,
A4.2Dicot,Magnoliopsida,Caryophylladae,Caryophyllanae,Caryophyllales,Phytolacineae,Nyctaginaceae,Nyct,
A4.8Dicot,Magnoliopsida,Lamiidae,Oleanae,Oleales,NA,Oleaceae,Olea,
A4.5Dicot,Magnoliopsida,Rosidae,Myrtanae,Myrtales,Onagrineae,Onagraceae,Onag,
A2Monocot,Liliopsida,Liliidae,Lilianae,Orchidales,NA,Orchidaceae,Orch,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Scrophulariales,NA,Orobanchaceae,Orob,
A4.5Dicot,Magnoliopsida,Rosidae,Geranianae,Oxalidales,NA,Oxalidaceae,Oxal,
A4.2Dicot,Magnoliopsida,Ranunculidae,Ranunculanae,Papaverales,NA,Papaveraceae,Papa,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Passiflorales,NA,Passifloraceae,Pass,
A4.5Dicot,Magnoliopsida,Dilleniidae,Euphorbianae,Euphorbiales,NA,Phyllanthaceae,Phyl,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Rutales,Rutineae,Picramniaceae,Picr,
A1.2Conifer,Pinopsida,Conifer,Conifer,Pinales,NA,Pinaceae,Pina,
A4.8Dicot,Magnoliopsida,Cornidae,Aralianae,Pittosporales,NA,Pittosporaceae,Pitt,
A4.8Dicot,Magnoliopsida,Lamiidae,Lamianae,Scrophulariales,NA,Plantaginaceae,Plan,
A4.2Dicot,Magnoliopsida,Caryophylladae,Plumbaginanae,Plumbaginales,NA,Plumbaginaceae,Plum,
A3Monocot,Liliopsida,Commelinidae,Poanae,Poales,NA,Poaceae,Poac,
A1.2Conifer,Pinopsida,Conifer,Conifer,Pinales,NA,Podocarpaceae,Podo,
A4.5Dicot,Magnoliopsida,Rosidae,Geranianae,Polygalales,NA,Polygalaceae,Polyg,
A4.2Dicot,Magnoliopsida,Caryophylladae,Polygonanae,Polygonales,NA,Polygonaceae,Polg,
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Polypodiaceae,Poly,
A4.2Dicot,Magnoliopsida,Caryophylladae,Caryophyllanae,Caryophyllales,Portulacinae,Portulacaceae,Port,
A4.2Dicot,Magnoliopsida,Rosidae,Proteanae,Proteales,NA,Proteaceae,Prot,
A1Fern,Psilotopsida,Fern,Fern,Psilotales,NA,Psilotaceae,Psil,
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Pteridaceae,Pter,
A4.5Dicot,Magnoliopsida,Dilleniidae,Euphorbianae,Euphorbiales,NA,Putranjivaceae,Putr,
A4.5Dicot,Magnoliopsida,Rosidae,Rhamnanae,Rhamnales,NA,Rhamnaceae,Rham,
A4.5Dicot,Magnoliopsida,Rosidae,Rosanae,Rosales,NA,Rosaceae,Rosa,
A4.8Dicot,Magnoliopsida,Lamiidae,Gentiananae,Rubiales,NA,Rubiaceae,Rubi,
A2Monocot,Liliopsida,Liliidae,Lilianae,Asparagales,Asparaginae,Ruscaceae,Rusc,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Rutales,Rutineae,Rutaceae,Ruta,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Salicales,NA,Salicaceae,Sali,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Sapindales,NA,Sapindaceae,Sapi,
A4.8Dicot,Magnoliopsida,Dilleniidae,Primulanae,Sapotales,NA,Sapotaceae,Sapo,
A1Fern,Polypodiopsida,Fern,Fern,Schizaeales,NA,Schizaeaceae,Schi,
A4.5Dicot,Magnoliopsida,Rosidae,Rutanae,Rutales,Rutineae,Simaroubaceae,Sima,
A2Monocot,Liliopsida,Liliidae,Dioscoreanae,Smilacales,NA,Smilacaceae,Smil,
A4.8Dicot,Magnoliopsida,Lamiidae,Solananae,Solanales,NA,Solanaceae,Sola,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Musales,Strelitziineae,Strelitziaceae,Stre,
A4.8Dicot ,Magnoliopsida,Lamiidae,Solananae,Boraginales,NA,Tetrachondraceae,Tetr,
A1Fern,Polypodiopsida,Fern,Fern,Polypodiales,NA,Thelypteridaceae,Thel,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Passiflorales,NA,Turneraceae,Turn,
A4.5Dicot,Magnoliopsida,Dilleniidae,Urticanae,Urticales,NA,Urticaceae,Urti,
A4.8Dicot ,Magnoliopsida,Lamiidae,Lamianae,Lamiales,NA,Verbenaceae,Verb,
A4.5Dicot,Magnoliopsida,Dilleniidae,Violanae,Violales,NA,Violaceae,Viol,
A4.2Dicot,Magnoliopsida,Rosidae,Vitanae,Vitales,NA,Vitaceae,Vita,
A1.2Conifer,Cycadopsida,Conifer,Conifer,Cycadales,NA,Zamiaceae,Zami,
A3Monocot,Liliopsida,Commelinidae,Zingiberanae,Zingiberales,NA,Zingiberaceae,Zing,
A4.5Dicot,Magnoliopsida,Rosidae,Geranianae,Zygophyllales,Zygophyllineae,Zygophyllaceae,Zygo,
,,,,, , ,,
,,,,,,,,