family,genus,species,established_FL ,native
Amaryllidaceae,aaHemerocallus?,NA,,0
Arecaceae,aaNA,NA,0,0
Malpighiaceae,aaNA,NA,,
Orchidaceae,aaNA,NA,,
Poaceae,aaNA,NA,1,
Cactaceae,aaNA,sp.,,
Malvaceae,Abelmoscus,esculentus,1,0
Orchidaceae,abNA,NA,,
Fabaceae,Abrus,precatorius,1,0
Fabaceae,Acacia,auriculiformis,1,0
Euphorbiaceae,Acalypha,alopecuroidea,1,0
Euphorbiaceae,Acalypha,amentacea wilkesiana,1,0
Euphorbiaceae,Acalypha,chamaedrifolia,1,1
Euphorbiaceae,Acalypha,hispida,0,0
Euphorbiaceae,Acalypha,ostryifolia,1,1
Euphorbiaceae,Acalypha,setosa,1,0
Sapindaceae,Acer,rubrum,1,1
Amaranthaceae,Achyranthes,aspera,1,0
Arecaceae,Acoelorathe,wrightii,1,1
Arecaceae,Acrocomia,sp.,1,0
Bombacaceae,Adansonia,digitata,0,0
ZZUnkFam,Adenium?,sp.,,
Arecaceae,Adonidia [Veitchia],merrillii,0,0
Bromeliaceae,Aechmea, 'Blue rain',0,0
Bromeliaceae,Aechmea,blanchetiana,0,0
Bromeliaceae,Aechmea,chantini,0,0
Bromeliaceae,Aechmea,nr lueddemanniana,,0
Rutaceae,Aegle,marmelos,0,0
Fabaceae,Aeschynomene,americana ,1,1
Fabaceae,Aeschynomene,viscidula,1,1
Agavaceae,Agave,americana,1,0
Agavaceae,Agave,angustifolia?,0,0
Agavaceae,Agave,attenuata,0,0
Agavaceae,Agave,desmettiana,0,0
Agavaceae,Agave,lophantha,0,0
Agavaceae,Agave,sp. #1,0,0
Asteraceae,Ageratum,houstonianum,1,0
Araceae,Aglaonema,nr commutatum,,0
Fabaceae,Albizia,lebbeck,1,0
Bromeliaceae,Alcantarea,imperialis,0,0
Apocynaceae,Allamanda,schottii,1,0
Araceae,Alocasia,zebrina,0,0
Asphodelaceae,Aloe,sp.,,0
Zingeberaceae,Alpinia,purpurata,0,0
Zingeberaceae,Alpinia,zerumbet,1,0
Apocynaceae,Alstonia,macrophylla,1,0
Picramniaceae,Alvaradoa,amorphoides,1,1
Fabaceae,Alysicarpus,vaginalis,1,0
Amaranthaceae,Amaranthus,blitum,1,0
Amaranthaceae,Amaranthus,hybridus,1,0
Amaranthaceae,Amaranthus,polygonoides,1,0
Amaranthaceae,Amaranthus,spinosus,1,0
Amaranthaceae,Amaranthus,viridis,1,0
Asteraceae,Ambrosia,artemisifolia,1,1
Bromeliaceae,Ananas,comosus,0,0
Poaceae,Andropogon,brachystachyus,1,1
Poaceae,Andropogon,glomeratus,1,1
Poaceae,Andropogon,tracyi,1,1
Schizaeaceae,Anemia,adiantifolia,1,1
Apocynaceae,Angadenia ,berteroi,1,1
Annonaceae,Annona,cherimola x squamosa,0,0
Annonaceae,Annona,diversifolia,0,0
Annonaceae,Annona,diversifolia x glabra,0,0
Annonaceae,Annona,glabra,1,1
Annonaceae,Annona,montana ,0,0
Annonaceae,Annona,muricata,0,0
Annonaceae,Annona,reticulata,0,0
Annonaceae,Annona,squamosa,1,0
Phyllanthaceae,Antidesma ,bunius,0,0
Araucariaceae,Araucaria,heterophylla,1,0
Myrsinaceae,Ardisia,elliptica,1,0
Myrsinaceae,Ardisia,escallionoides,1,1
Papaveraceae,Argemone,mexicana,1,1
Poaceae,Aristida,purpurascens,1,1
Moraceae,Artocarpus,heterophyllus,0,0
Moraceae,Artocarpus,nitidus,0,0
Apocynaceae,Asclepias,curassavica,1,0
Polygalaceae,Asemeia [Polygala],violacea,1,1
Asparagaceae,Asparagus,aethiopicus,1,0
Acanthaceae,Asystasia,gangetica,1,0
Arecaceae,Attalea,crassispatha,0,0
Arecaceae,Attalea,speciosa,0,0
Oxalidaceae,Averrhoa,carambola,0,0
Poaceae,Axonopus,compressus,1,1
Poaceae,Axonopus,fissifolius,1,1
Poaceae,Axonopus,furcatus,1,1
Malvaceae,Ayenia,euphrasifolia,1,1
Meliaceae,Azadirachta,indica,0,0
Asteraceae,Baccharis,sp.,1,1
Plantaginaceae,Bacopa,monnieri,1,1
Poaceae,Bambusa,multiplex,1,0
Poaceae,Bambusa ,melingensis 'MeClures',0,0
Acanthaceae,Barleria,cristata,1,0
Basellaceae,Basella,alba,0,0
Fabaceae,Bauhinia,tomentosa,0,0
Fabaceae,Bauhinia,variegata,1,0
Asparagaceae,Beaucarnea,recurvata,0,0
Asteraceae,Berlandiera,subacaulis,1,1
Asteraceae,Bidens,alba,1,1
Bromeliaceae,Billbergia,pyramidalis,1,0
Phyllanthaceae,Bischofia,javanica,1,0
Arecaceae,Bismarkia,nobilis,0,0
Sapindaceae,Blighia,sapida,0,0
Nyctaginaceae,Boerhavia,diffusa,1,1
Nyctaginaceae,Boerhavia,erecta,1,1
Bombacaceae,Bombax,ceiba,0,0
Arecaceae,Borassus,sp.,0,0
Poaceae,Bothriochloa,pertusa,1,0
Nyctaginaceae,Bougainvillea,sp.,0,0
Boraginaceae,Bourreria,succulenta,1,1
Brassicaceae,Brassica,oleracea,0,0
Moraceae,Brosimum,alicastrum,1,0
Orobanchaceae,Buchnera,americana,1,1
Asphodelaceae,Bulbine ,frutescens,1,0
Zygophyllaceae,Bulnesia,arborea,0,0
Burseraceae,Bursera,simaruba,1,1
Malpighiaceae,Byrsonima,lucida,1,1
Fabaceae,Caesalspina,granadillo,0,0
Fabaceae,Caesalspina,pulcherrima,1,0
Fabaceae,Calliandra,tergemina,0,0
Lamiaceae,Callicarpa,americana,1,1
Sapotaceae,Calocarpum ,viride,0,0
Rubiaceae,Calycophyllum ,spruceanum,0,0
Asteraceae,Calyptocarpus,vialis,1,0
Myrtaceae,Calyptranthes,pallens,1,1
Fabaceae,Canavalia,brasiliensis,1,0
Canellaceae,Canella,winterana,1,1
Cannaceae,Canna,sp.,1,0
Cannabaceae [Incl. Celtidaceae],Cannabis ,sativa,1,0
Brassicaceae,Capsella,bursa-pastoris,1,0
Solanaceae,Capsicum,annuum,1,1
Brassicaceae,Cardamine,pensylvanica,1,1
Sapindaceae,Cardiospermum,microcarpum,1,1
Caricaceae,Carica,papaya,1,1
Cyclanthaceae,Carludovica,nr. palmata,0,0
Arecaceae,Carpenteria,acuminata,0,0
Arecaceae,Caryota,mitis,1,0
Rutaceae,Casimiroa ,edulis,0,0
Rutaceae,Casimiroa ,tetrameria,0,0
Fabaceae,Cassia,sp.,,
Lauraceae,Cassytha,filiformis,1,1
Casuarinaceae,Casuarina,equisetifolia,1,0
Orchidaceae,Caulaelia/Jackfowlieara/Cattleya,sp.,,
Poaceae,Cenchrus,brownii,1,1
Poaceae,Cenchrus,echinatus,1,1
Poaceae,Cenchrus,gracillimus,1,1
Poaceae,Cenchrus [Pennisetum],purpureus,1,0
Poaceae,Cenchrus [Pennisetum],setaceus,1,0
Apiaceae,Centella,asiatica,1,1
Fabaceae,Centrosema,virginianum,1,1
Zamiaceae,Ceratozamia/Macrozamia,NA,0,0
Fabaceae,Chamaecrista,faciculata,1,1
Fabaceae,Chamaecrista,nictitans aspera,1,1
Arecaceae,Chamaedorea,seifrizii,1,0
Arecaceae,Chamaerops,humilis,0,0
Arecaceae,Chambeyronia,macrocarpa,0,0
Asteraceae,Chaptalia,albicans,1,1
Amaranthaceae,Chenopodium,album,1,0
Rubiaceae,Chiococca,alba,1,1
Poaceae,Chloris,radiata,1,0
Bombacaceae,Chlorisia,speciosa,0,0
Asteraceae,Chromalaena,odorata,1,1
Chrysobalanaceae,Chrysobalanus,icaco,1,1
Sapotaceae,Chrysophyllum,cainito,0,0
Sapotaceae,Chrysophyllum,oliviforme,1,1
Poaceae,Chrysopogon,pauciflorus,1,1
Asteraceae,Cirsium,horridulum,1,1
Asteraceae,Cirsium,nuttallii,1,1
Vitaceae,Cissus,verticillata,1,1
Verbenaceae,Citharexylum,spinosum,1,1
Cucurbitaceae,Citrullus,lanatus,1,0
Rutaceae,Citrus,latifolia,0,0
Rutaceae,Citrus,x paradisi,0,0
Rutaceae,Citrus,x sinensis,0,0
Rutaceae,Clausena ,lansium,0,0
Clusiaceae,Clusia,rosea,1,1
Euphorbiaceae,Cnidoscolus,stimulosus,1,1
Polygonaceae,Coccoloba,diversifolia,1,1
Polygonaceae,Coccoloba,uvifera,1,1
Arecaceae,Cocos,nucifera,1,1
Arecaceae,Cocothrinax,alta,0,0
Arecaceae,Cocothrinax,argentata,1,1
Arecaceae,Cocothrinax,crinita,0,0
Arecaceae,Cocothrinax,sp.,0,0
Euphorbiaceae,Codiaeum,variegatum,0,0
Rhamnaceae,Colubrina,arborescens,1,1
Commelinaceae,Commelina,diffusa,1,0
Commelinaceae,Commelina,erecta,1,1
Combretaceae,Conocarpus,erectus,1,1
Asteraceae,Conyza,canadense,1,1
Arecaceae,Copernicia,baileyana,0,0
Arecaceae,Copernicia,cowellii,0,0
Arecaceae,Copernicia,fallense,0,0
Arecaceae,Copernicia,glabrescens,0,0
Arecaceae,Copernicia,hospita,0,0
Arecaceae,Copernicia,sp.,0,0
Boraginaceae,Cordia,boissieri,0,0
Boraginaceae,Cordia,sebestina,1,0
Asparagaceae,Cordyline,fruiticosa [terminalis],0,0
Lecythidaceae,Coroupita,guianensis,0,0
Arecaceae,Corypha,sp.,0,0
Costaceae,Costus/Cheilocostus,pulverulentus/speciosus,,0
Asteraceae,Crassocephalum,crespidioides,1,0
Crassulaceae,Crassula,arborescens ,0,0
Amaryllidaceae,Crinum,asiaticum,1,0
Celastraceae,Crossopetalum,ilicifolium,1,1
Fabaceae,Crotalaria,juncea,1,0
Fabaceae,Crotalaria,pallida obovata,1,0
Fabaceae,Crotalaria,pumila,1,1
Fabaceae,Crotalaria,spectabilis,1,0
Euphorbiaceae,Croton,linearis,1,1
Bromeliaceae,Cryptanthus,bivittatus,0,0
Cucurbitaceae,Cucumis,sativus,1,0
Cucurbitaceae,Cucurbita,moschata,1,0
Cucurbitaceae,Cucurbita,pepo,0,0
ZZUnkFam,Cupania?,glabra?,,
Commelinaceae,Cyanotis,nr. obtusa,0,0
Asteraceae,Cyanthillium,cinereum,1,0
Cycadaceae,Cycas,circinalis,0,0
Cycadaceae,Cycas,revoluta,1,0
Apiaceae,Cyclospermum,leptophyllum,1,0
Poaceae,Cyonodon,dactylon,1,0
Cyperaceae,Cyperus,compressus,1,1
Cyperaceae,Cyperus,croceus,1,1
Cyperaceae,Cyperus,esculentus,1,0
Cyperaceae,Cyperus,hyalinus,1,0
Cyperaceae,Cyperus,polystachios,1,1
Cyperaceae,Cyperus,rotundus,1,0
Cyperaceae,Cyperus [Kyllinga],brevifolius,1,0
Cyperaceae,Cyperus [Kyllinga],metzii [squamulata],1,0
Poaceae,Dactyloctenium,aegyptium,1,0
Lauraceae,Danburneya [Ocotea],coriacea,1,1
Fabaceae,Delonix,regia,1,0
Orchidaceae,Dendrobium,sp.,,
Fabaceae,Desmanthus,leptophyllus,1,0
Fabaceae,Desmodium,incanum,1,0
Fabaceae,Desmodium,lineatum,1,1
Fabaceae,Desmodium,tortuosum,1,0
Fabaceae,Desmodium,triflorum,1,0
Hemorocallidaceae,Dianella,ensifolia/madagascarensis,,0
Poaceae,Dichanthelium,aciculare,1,1
Poaceae,Dichanthelium,ensifolium ensifolium,1,1
Poaceae,Dichanthelium,ovale,1,1
Poaceae,Dichanthelium,strigosum glabrescens,1,1
Poaceae,Dichanthium,aristatum,1,0
Convolvulaceae,Dichondra,micrantha,1,0
Arecaceae,Dictyosperma ,album,0,0
Iridaceae,Dietes,bicolor,0,0
Poaceae,Digitaria,ciliaris,1,1
Sapindaceae,Dimocarpus,longan,1,0
Sapindaceae,Dimocarpus,sp.,0,0
Poaceae,Dinebra,panicea,1,1
Rubiaceae,Diodea,nr. virginica,1,1
Zamiaceae,Dioon,edule,0,0
Zamiaceae,Dioon,holmgrenii/sonorense,0,0
Zamiaceae,Dioon,mejiae,0,0
Ebenaceae,Diospyros ,discolor,0,0
Ebenaceae,Diospyros ,ebe/ebenum,,0
Ebenaceae,Diospyros ,mespiliformis [senegalensis],0,0
Ebenaceae,Diospyros ,nigra [dignya],0,0
Convolvulaceae,Distimake,dissectus,1,1
Malvaceae,Dombeya,Cayeuxii',0,0
Salicaceae,Dovyalis,abyssinica,0,0
Salicaceae,Dovyalis,caffra ,0,0
Salicaceae,Dovyalis,hebecarpa,0,0
Asparagaceae,Dracaena,fragrans,0,0
Asparagaceae,Dracaena,marginata,0,0
Caryophyllaceae,Drymaria,cordata,1,0
Putranjivaceae,Drypetes,lateriflora,1,1
Verbenaceae,Duranta,erecta,1,0
Arecaceae,Dypsis,cabidae,0,0
Arecaceae,Dypsis,decaryi,0,0
Arecaceae,Dypsis,lutescens,1,0
Acanthaceae,Dyschoriste,angusta,1,1
Fabaceae,Ebenopsis , ebano,0,0
Poaceae,Echinochloa,colona,1,0
Poaceae,Echinochloa,crusgalli,1,0
Apocynaceae,Echites,umbellatus,1,1
Asteraceae,Eclipta,prostrata,1,1
Boraginaceae,Ehretia,anacua,,0
Arecaceae,Elaeis,guineensis,1,0
Poaceae,Eleusine,indica,1,0
Asteraceae,Emilia,fosbergii,1,0
Asteraceae,Emilia,sonchifolia,1,0
Zamiaceae,Encephalartos,gratus,0,0
Zamiaceae,Encephalartos/Dioon,sp.,0,0
Orchidaceae,Encyclia,tampensis,1,1
Fabaceae,Enterolobium,contortisiliqum/cyclocarpum,1,0
Araceae,Epipremnum,pinnatum,1,0
Poaceae,Eragrostis,amabilis,1,0
Poaceae,Eragrostis,bahiensis,1,0
Poaceae,Eragrostis,barrelieri,1,0
Poaceae,Eragrostis,ciliaris,1,0
Poaceae,Eragrostis,elliottii,1,1
Asteraceae,Erechtites,hieracifolius,1,1
Poaceae,Eremochloa,ophiuroides,1,0
Rosaceae,Eriobotrya,japonica,1,0
Fabaceae,Erythrina,herbacea,1,1
Myrtaceae,Eugenia,"""vuehlo"" (no such species)",0,0
Myrtaceae,Eugenia,aggregata,0,0
Myrtaceae,Eugenia,axillaris,1,1
Myrtaceae,Eugenia,brasiliensis ,0,0
Myrtaceae,Eugenia,confusa,1,1
Myrtaceae,Eugenia,foetida,1,1
Myrtaceae,Eugenia,luschnathiana,0,0
Myrtaceae,Eugenia,rhombea,1,1
Myrtaceae,Eugenia,uniflora,1,0
Orchidaceae,Eulophia,graminea,1,0
ZZUnkFam,Euonymus?,?,,
Asteraceae,Eupatorium,capillifolium,1,1
Euphorbiaceae,Euphorbia,graminea,1,0
Euphorbiaceae,Euphorbia,lactea,0,0
Euphorbiaceae,Euphorbia,milii,1,0
Euphorbiaceae,Euphorbia,nr. ingens,,0
Euphorbiaceae,Chamaesyce,hirta,1,1
Euphorbiaceae,Chamaesyce,hypericifolia,1,1
Euphorbiaceae,Chamaesyce,hyssopifolia,1,1
Euphorbiaceae,Chamaesyce,lasiocarpa,1,0
Euphorbiaceae,Chamaesyce,mendezii,1,0
Euphorbiaceae,Chamaesyce,opthalmica,1,1
Euphorbiaceae,Chamaesyce,prostrata,1,1
Euphorbiaceae,Euphorbia,cyathophora,1,1
Euphorbiaceae,Euphorbia,heterophylla,1,1
Euphorbiaceae,Euphorbia [Poinsettia],pinetorum,1,1
Boraginaceae,Euploca [Heliotropium],procumbens,1,0
Poaceae,Eustachys,petraea,1,1
Convolvulaceae,Evolvulus,sericeus,1,1
Sapindaceae,Exothea,paniculata,1,1
Moraceae,Ficus,aurea,1,1
Moraceae,Ficus,benjamina,1,0
Moraceae,Ficus,lyrata,0,0
Moraceae,Ficus,microcarpa,1,0
Moraceae,Ficus,religiosa,1,0
Cyperaceae,Fimbristylis,cymosa,1,1
Salicaceae,Flacourtia,indica,1,0
Oleaceae,Forestiera,segregata,1,1
Rosaceae,Frageria,sp.,,
Oleaceae,Fraxinus,uhdei,0,0
Papaveraceae,Fumaria,officinalis,1,0
Rubiaceae,Galium,hispidulum,1,1
Malpighiaceae,Galphimia,gracilis,1,0
Asteraceae,Gamochaeta,pensylvanica,1,0
Euphorbiaceae,Garcia,nutans,0,0
Clusiaceae,Garcinia,livingstonei,0,0
Clusiaceae,Garcinia,subelliptica/spicata/ovalifolius var.spicata,0,0
Clusiaceae,Garcinia,xanthochymus [tinctoria],0,0
Rubiaceae,Gardenia,sp.1,0,0
Rubiaceae,Gardenia,sp.2,0,0
Chrysobalanaceae,Geobalanus,oblongifolius,1,1
Geraniaceae,Geranium ,carolinianum,1,1
Commelinaceae,Gibasis,pellucida,1,0
Orchidaceae,Grammatophyllum,multiflorum,0,0
Zygophyllaceae,Guaiacum,sanctum,1,1
Rubiaceae,Guettarda,scabra,1,1
Bromeliaceae,Guzmania,lingulata,,0
Euphorbiaceae,Gymnanthes,lucida,1,1
Rubiaceae,Hamelia,patens,1,1
Bignoniaceae,Handroanthus [Tabebuia],chrysotricha/chrysantha,,0
Bignoniaceae,Handroanthus [Tabebuia],impetiginosa,0,0
Bignoniaceae,Handroanthus [Tabebuia],sp.,0,0
Heliconiaceae,Heliconia,nr. acuminata,0,0
Heliconiaceae,Heliconia,rostrata,0,0
Malvaceae,Herissantia,crispa,1,1
Arecaceae,Heterospathe,elata,0,0
Malvaceae,Hibiscus,rosa-sinensis rosa-sinensis,1,0
Asteraceae,Hieracium,megacephalon,1,1
Bromeliaceae,Hohenbergia,nr. stellata,0,0
