block,site,big_plot,corner,site_code,status,cluster
1,N,31,1,1N,high,open
1,N,31,4,1N,high,open
1,N,32,2,1N,high,open
1,N,32,4,1N,high,open
1,N,40,1,1N,high,open
1,N,40,3,1N,high,open
1,N,41,1,1N,high,open
1,N,41,4,1N,high,open
1,S,31,1,1S,high,open
1,S,31,4,1S,high,open
1,S,32,2,1S,high,open
1,S,32,4,1S,high,open
1,S,40,1,1S,high,open
1,S,40,3,1S,high,open
1,S,41,1,1S,high,open
1,S,41,4,1S,high,open
4,N,31,1,4N,high,open
4,N,31,4,4N,low,lawn
4,N,32,2,4N,high,open
4,N,32,4,4N,low,lawn
4,N,40,1,4N,low,lawn
4,N,40,3,4N,low,lawn
4,N,41,1,4N,low,lawn
4,N,41,4,4N,low,lawn
4,S,31,1,4S,low,lawn
4,S,31,4,4S,high,open
4,S,32,2,4S,low,lawn
4,S,32,4,4S,high,open
4,S,40,1,4S,high,open
4,S,40,3,4S,high,open
4,S,41,1,4S,high,open
4,S,41,4,4S,high,open
14,N,31,1,14N,low,lawn
14,N,31,4,14N,high,open
14,N,32,2,14N,low,lawn
14,N,32,4,14N,high,open
14,N,40,1,14N,high,open
14,N,40,3,14N,high,open
14,N,41,1,14N,high,open
14,N,41,4,14N,high,open
14,S,31,1,14S,low,hammock
14,S,31,4,14S,low,hammock
14,S,32,2,14S,low,hammock
14,S,32,4,14S,low,hammock
14,S,40,1,14S,low,hammock
14,S,40,3,14S,low,hammock
14,S,41,1,14S,low,hammock
14,S,41,4,14S,low,hammock
15,N,31,1,15N,low,orchard
15,N,31,4,15N,low,orchard
15,N,32,2,15N,low,orchard
15,N,32,4,15N,low,orchard
15,N,40,1,15N,low,orchard
15,N,40,3,15N,low,orchard
15,N,41,1,15N,low,orchard
15,N,41,4,15N,low,orchard
15,S,31,1,15S,low,orchard
15,S,31,4,15S,low,orchard
15,S,32,2,15S,low,orchard
15,S,32,4,15S,low,orchard
15,S,40,1,15S,low,orchard
15,S,40,3,15S,low,orchard
15,S,41,1,15S,low,orchard
15,S,41,4,15S,low,orchard